HSC,CMP,GMP,B,Mono,MEP,EryA,NK,CD8,CD4,Gran
Usp39,102,265,245,30,81,451,151,30,83,59,442
Usp4,290,420,424,135,268,619,386,97,209,198,1490
Usp40,160,205,131,58,100,150,22,42,89,61,253
Usp42,84,182,151,59,40,172,38,28,97,69,388
Usp43,0,0,0,0,0,0,0,0,0,0,0
Usp44,1,4,2,0,0,3,0,0,0,1,1
Usp45,34,89,69,24,72,277,134,15,56,50,317
Usp46,27,52,58,11,14,179,110,6,3,4,407
Usp47,169,331,383,58,173,545,113,61,150,117,826
Usp48,410,530,482,149,163,739,256,180,315,206,1086
Usp49,17,33,28,2,4,116,161,4,0,2,88
Usp5,452,437,492,134,205,577,179,33,131,125,930
Usp50,0,0,0,0,0,0,0,0,0,0,0
Usp51,12,0,1,0,0,29,0,0,0,0,0
Usp53,0,16,7,14,5,10,1,2,13,18,36
Usp54,46,58,45,5,5,64,12,1,17,16,68
Usp6nl,31,80,72,38,30,268,90,4,12,13,237
Usp7,450,912,933,245,345,1528,1258,120,518,385,1380
Usp8,193,384,341,98,288,381,143,60,126,121,1001
Usp9x,144,372,294,99,152,521,84,50,140,165,367
Usp9y,0,0,0,0,0,0,0,0,0,0,0
Uspl1,109,243,192,57,48,316,61,37,118,90,444
Ust,0,7,1,0,2,0,0,19,28,11,112
Utf1,0,0,0,0,0,0,0,0,18,2,35
Utp11l,232,480,504,64,92,567,33,45,144,120,479
Utp14a,183,490,430,82,205,863,30,23,203,130,568
Utp14b,6,11,8,0,4,13,0,0,3,0,25
Utp15,89,262,287,19,58,405,8,22,101,36,245
Utp18,80,177,190,47,53,309,23,23,68,48,195
Utp20,129,368,320,41,73,452,11,14,127,47,156
Utp23,116,240,233,60,91,350,72,46,80,82,551
Utp3,213,533,508,129,220,729,148,97,240,184,965
Utp6,215,376,437,57,61,492,34,35,94,75,388
Utrn,331,248,146,82,157,90,33,116,616,574,671
Uts2,0,0,0,0,0,0,0,0,0,0,0
Uts2b,0,0,0,0,0,0,0,0,0,0,0
Uts2r,0,0,0,0,0,0,0,0,0,0,0
Uty,0,0,0,0,0,0,0,0,0,0,0
Uvrag,98,287,312,145,249,188,48,55,93,107,847
Uvssa,108,117,92,54,53,160,53,34,90,84,284
Uxs1,0,5,3,0,3,13,0,0,2,0,16
Uxt,64,244,270,41,39,295,76,16,58,28,384
V1ra8,0,0,0,0,0,0,0,0,0,0,0
V1rd18,0,0,0,0,0,0,0,0,0,0,0
V1rd19,0,0,0,0,0,0,0,0,0,0,0
Vac14,150,338,370,74,150,444,86,46,105,83,419
Vamp1,42,80,74,78,61,47,17,14,88,91,199
Vamp2,311,262,230,158,176,308,203,112,250,201,748
Vamp3,131,373,416,52,226,344,171,67,92,79,905
Vamp4,11,12,17,15,35,14,1,8,27,26,104
Vamp5,977,530,247,48,72,1318,339,45,104,63,1446
Vamp7,49,168,169,11,56,97,6,16,44,18,145
Vamp8,791,851,867,217,495,969,519,127,222,221,1823
Vangl1,9,9,5,0,0,82,438,0,0,0,17
Vangl2,51,82,67,18,34,17,0,0,17,21,223
Vapa,239,734,825,86,345,726,90,68,191,135,980
Vapb,234,547,571,122,369,561,110,129,202,200,1154
Vars,866,884,781,492,349,1087,489,115,383,288,719
Vars2,206,198,187,36,33,407,8,22,98,82,195
Vash1,85,46,23,1,8,39,21,2,2,10,40
Vash2,6,12,12,7,0,3,0,0,9,3,21
Vasn,63,198,218,72,103,83,19,62,99,128,229
Vasp,446,584,590,321,382,456,128,294,699,511,2543
Vat1,99,167,344,9,37,71,4,9,35,11,145
Vat1l,0,0,0,0,0,0,0,0,0,0,0
Vaultrc5,0,2,5,0,1,0,0,1,2,0,3
Vav1,375,654,668,221,350,320,48,128,356,263,1994
Vav2,86,158,128,124,110,94,25,10,30,66,457
Vav3,90,306,275,8,145,28,1,18,22,36,615
Vax1,0,0,0,0,0,1,0,0,0,0,0
Vax2,0,0,0,0,0,0,0,0,0,1,2
Vax2os,17,1,0,0,0,0,0,0,0,0,0
Vbp1,100,205,193,84,62,253,173,32,82,90,445
Vcam1,10,4,38,0,4,4,52,8,0,1,886
Vcan,14,2,6,0,104,0,2,0,0,0,4
Vcl,145,130,109,29,138,390,44,28,21,39,915
Vcp,1251,1904,1922,473,749,2139,718,263,724,665,2535
Vcpip1,117,260,217,81,172,276,75,40,103,89,398
Vcpkmt,100,90,103,21,33,192,6,23,49,47,118
Vdac1,434,899,878,101,277,1145,155,79,265,141,862
Vdac2,510,1100,1201,198,512,1469,201,154,452,303,1791
Vdac3,291,550,533,88,200,684,201,73,215,136,424
Vdr,92,215,125,0,7,47,0,1,2,2,19
Vegfa,124,71,141,2,4,133,2,7,9,2,286
Vegfb,249,536,502,64,40,711,66,17,121,67,382
Vegfc,39,12,17,3,0,0,0,18,1,1,47
Veph1,4,2,0,0,0,1,0,0,0,0,4
Vezf1,637,749,512,261,246,581,154,226,411,389,1539
Vezt,52,98,71,40,34,209,116,9,59,59,193
Vgf,6,0,0,0,0,0,0,0,0,0,4
Vgll1,0,0,0,0,0,0,0,0,0,0,0
Vgll2,0,0,0,0,0,0,0,0,0,0,0
Vgll3,0,0,0,0,0,0,0,0,0,0,0
Vgll4,389,209,189,125,151,224,17,91,196,246,370
Vhl,49,93,100,31,88,99,14,20,28,33,698
Vil1,5,1,2,0,0,1,0,1,1,2,12
Vill,105,146,147,7,119,17,4,0,1,5,916
Vim,918,1844,1707,311,1784,733,74,453,815,539,2981
Vimp,131,465,628,111,196,307,16,75,204,148,700
Vip,0,0,0,0,0,0,0,0,0,0,0
Vipas39,121,182,194,41,100,158,17,38,59,60,510
Vipr1,0,0,1,0,0,1,0,1,149,166,129
Vipr2,27,14,11,0,1,3,0,1,0,5,6
Vit,0,31,6,0,0,13,2,0,0,0,4
Vkorc1,162,296,339,20,50,312,39,15,67,32,165
Vkorc1l1,138,283,323,32,49,705,184,14,51,40,448
Vldlr,5,26,1,0,0,7,0,0,0,0,3
Vma21,119,381,386,53,124,597,42,45,89,60,488
Vmac,74,86,99,41,12,98,8,11,81,64,130
Vmn1r-ps103,0,0,0,0,0,0,0,0,0,0,0
Vmn1r-ps79,0,0,0,0,0,0,0,0,0,0,0
Vmn1r1,0,0,0,0,0,0,0,0,0,0,0
Vmn1r10,0,0,0,0,0,0,0,0,0,0,0
Vmn1r100,0,0,0,0,0,0,0,0,0,0,0
Vmn1r101,0,0,0,0,0,0,0,0,0,0,0
Vmn1r103,0,0,0,0,0,0,0,0,0,0,0
Vmn1r104,0,0,0,0,0,0,0,0,0,0,0
Vmn1r107,0,0,0,0,0,0,0,0,0,0,0
Vmn1r11,0,0,0,0,0,0,0,0,0,0,0
Vmn1r111,0,0,0,0,0,0,0,0,0,0,0
Vmn1r112,0,0,0,0,0,0,0,0,0,0,0
Vmn1r113,0,0,0,0,0,0,0,0,0,0,0
Vmn1r114,0,0,0,0,0,0,0,0,0,0,0
Vmn1r115,0,0,0,0,0,0,0,0,0,0,0
Vmn1r116,0,0,0,0,0,0,0,0,0,0,0
Vmn1r117,0,0,0,0,0,0,0,0,0,0,0
Vmn1r118,0,0,0,0,0,0,0,0,0,0,0
Vmn1r119,0,0,0,0,0,0,0,0,0,0,0
Vmn1r12,0,0,0,0,0,0,0,0,0,0,0
Vmn1r120,0,0,0,0,0,0,0,0,0,0,0
Vmn1r121,0,0,0,0,0,0,0,0,0,0,0
Vmn1r122,0,0,0,0,0,0,0,0,0,0,0
Vmn1r123,0,0,0,0,0,0,0,0,0,0,0
Vmn1r124,0,0,0,0,0,0,0,0,0,0,0
Vmn1r125,0,0,0,0,0,0,0,0,0,0,0
Vmn1r126,0,0,0,0,0,0,0,0,0,0,0
Vmn1r127,0,0,0,0,0,0,0,0,0,0,0
Vmn1r128,0,0,0,0,0,0,0,0,0,0,0
Vmn1r129,0,0,0,0,0,0,0,0,0,0,0
Vmn1r13,0,0,0,0,0,0,0,0,0,0,0
Vmn1r130,0,0,0,0,0,0,0,0,0,0,0
Vmn1r131,0,0,0,0,0,0,0,0,0,0,0
Vmn1r132,0,0,0,0,0,0,0,0,0,0,0
Vmn1r135,0,0,0,0,0,0,0,0,0,0,0
Vmn1r137,0,0,0,0,0,0,0,0,0,0,0
Vmn1r138,0,0,0,0,0,0,0,0,0,0,0
Vmn1r139,0,0,0,0,0,0,0,0,0,0,0
Vmn1r14,0,0,0,0,0,0,0,0,0,0,0
Vmn1r142,0,0,0,0,0,0,0,0,0,0,0
Vmn1r143,0,0,0,0,0,0,0,0,0,0,0
Vmn1r148,0,0,0,0,0,0,0,0,0,0,0
Vmn1r149,0,0,0,0,0,0,0,0,0,0,0
Vmn1r15,0,0,0,0,0,0,0,0,0,0,0
Vmn1r151,0,0,0,0,0,0,0,0,0,0,0
Vmn1r152,0,0,0,0,0,0,0,0,0,0,0
Vmn1r155,0,0,0,0,0,0,0,0,0,0,0
Vmn1r157,0,0,0,0,0,0,0,0,0,0,0
Vmn1r158,0,0,0,0,0,0,0,0,0,0,0
Vmn1r159,0,0,0,0,0,0,0,0,0,0,0
Vmn1r16,0,0,0,0,0,0,0,0,0,0,0
Vmn1r160,0,0,0,0,0,0,0,0,0,0,0
Vmn1r163,0,0,0,0,0,0,0,0,0,0,0
Vmn1r165,0,0,0,0,0,0,0,0,0,0,0
Vmn1r166,0,0,0,0,0,0,0,0,0,0,0
Vmn1r167,0,0,0,0,0,0,0,0,0,0,0
Vmn1r168,0,0,0,0,0,0,0,0,0,0,0
Vmn1r169,0,0,0,0,0,0,0,0,0,0,0
Vmn1r17,0,0,0,0,0,0,0,0,0,0,0
Vmn1r170,0,0,0,0,0,0,0,0,0,0,0
Vmn1r171,0,0,0,0,0,0,0,0,0,0,0
Vmn1r172,0,0,0,0,0,0,0,0,0,0,0
Vmn1r173,0,0,0,0,0,0,0,0,0,0,0
Vmn1r174,0,0,0,0,0,0,0,0,0,0,0
Vmn1r175,0,0,0,0,0,0,0,0,0,0,0
Vmn1r176,0,0,0,0,0,0,0,0,0,0,0
Vmn1r177,0,0,0,0,0,0,0,0,0,0,0
Vmn1r178,0,0,0,0,0,0,0,0,0,0,0
Vmn1r179,0,0,0,0,0,0,0,0,0,0,0
Vmn1r18,0,1,0,0,0,0,0,0,0,0,0
Vmn1r180,0,0,0,0,0,0,0,0,0,0,0
Vmn1r181,0,0,0,0,0,0,0,0,0,0,0
Vmn1r183,0,0,0,0,0,0,0,0,0,0,0
Vmn1r184,0,0,0,0,0,0,0,0,0,0,0
Vmn1r185,0,0,0,0,0,0,0,0,0,0,0
Vmn1r186,0,0,0,0,0,0,0,0,0,0,0
Vmn1r187,0,0,0,0,0,0,0,0,0,0,0
Vmn1r188,0,0,0,0,0,0,0,0,0,0,0
Vmn1r189,0,0,0,0,0,0,0,0,0,0,0
Vmn1r19,0,0,0,0,0,0,0,0,0,0,0
Vmn1r191,0,0,0,0,0,0,0,0,0,0,0
Vmn1r192,0,0,0,0,0,0,0,0,0,0,0
Vmn1r193,0,0,0,0,0,0,0,0,0,0,0
Vmn1r194,0,0,0,0,0,0,0,0,0,0,0
Vmn1r195,2,0,0,0,0,0,0,0,0,0,0
Vmn1r196,0,0,0,0,0,0,0,0,0,0,0
Vmn1r197,0,0,0,0,0,0,0,0,0,0,0
Vmn1r198,0,0,0,0,0,0,0,0,0,0,0
Vmn1r199,0,0,0,0,0,0,0,0,0,0,0
Vmn1r2,0,0,0,0,0,0,0,0,0,0,0
Vmn1r20,0,0,0,0,0,0,0,0,0,0,0
Vmn1r200,0,0,0,0,0,0,0,0,0,0,0
Vmn1r201,0,0,0,0,0,0,0,0,0,0,0
Vmn1r202,0,0,0,0,0,0,0,0,0,0,0
Vmn1r203,0,0,0,0,0,0,0,0,0,0,0
Vmn1r204,0,0,0,0,0,0,0,0,0,0,0
Vmn1r205,0,0,0,0,0,0,0,0,0,0,0
Vmn1r206,0,0,0,0,0,0,0,0,0,0,0
Vmn1r207-ps,0,0,0,0,0,0,0,0,0,0,0
Vmn1r208,0,0,0,0,0,0,0,0,0,0,0
Vmn1r209,0,0,0,0,0,0,0,0,0,0,0
Vmn1r21,0,1,0,0,0,0,0,1,0,0,0
Vmn1r210,0,0,0,0,0,0,0,0,0,0,0
Vmn1r211,0,0,0,0,0,0,0,0,0,0,0
Vmn1r212,0,0,0,0,0,0,0,0,0,0,0
Vmn1r213,0,0,1,0,0,0,0,0,0,0,0
Vmn1r214,0,0,0,0,0,0,0,0,0,0,0
Vmn1r215,0,0,0,0,0,0,0,0,0,0,0
Vmn1r216,0,0,0,0,0,0,0,0,0,0,0
Vmn1r217,0,0,0,0,0,0,0,0,0,0,0
Vmn1r218,0,0,0,0,0,0,0,0,0,0,0
Vmn1r219,0,0,0,0,0,0,0,0,0,0,0
Vmn1r22,0,0,0,0,0,0,0,0,0,0,0
Vmn1r220,0,0,0,0,0,0,0,0,0,0,0
Vmn1r221,0,0,0,0,0,0,0,0,0,0,0
Vmn1r222,0,0,0,0,0,0,0,0,0,0,0
Vmn1r223,0,0,0,0,0,0,0,0,0,0,0
Vmn1r224,0,0,0,0,0,0,0,0,0,0,0
Vmn1r225,0,0,0,0,0,0,0,0,0,0,0
Vmn1r226,0,0,0,0,0,0,0,0,0,0,0
Vmn1r227,0,0,0,0,0,0,0,0,0,0,0
Vmn1r228,0,0,0,0,0,0,0,0,0,0,0
Vmn1r229,0,0,0,0,0,0,0,0,0,0,0
Vmn1r23,0,0,0,0,0,0,0,0,0,0,0
Vmn1r230,0,0,0,0,0,0,0,0,0,0,0
Vmn1r231,0,0,0,0,0,0,0,0,0,0,0
Vmn1r232,0,0,0,0,0,0,0,0,0,0,0
Vmn1r233,0,0,0,0,0,0,0,0,0,0,0
Vmn1r234,0,0,0,0,0,0,0,0,0,0,0
Vmn1r235,0,0,0,0,0,0,0,0,0,0,0
Vmn1r236,0,0,0,0,0,0,0,0,0,0,0
Vmn1r237,0,0,0,0,0,0,0,0,0,0,0
Vmn1r238,0,0,0,0,0,0,0,0,0,0,0
Vmn1r24,0,0,0,0,0,0,0,0,0,0,0
Vmn1r25,0,0,0,0,0,0,0,0,0,0,0
Vmn1r26,0,0,0,0,0,0,0,0,0,0,0
Vmn1r27,0,0,0,0,0,0,0,0,0,0,0
Vmn1r28,0,0,0,0,0,0,0,0,0,0,0
Vmn1r29,0,0,0,0,0,0,0,0,0,0,0
Vmn1r3,0,0,0,0,0,0,0,0,0,0,0
Vmn1r30,0,0,0,0,0,0,0,0,0,0,0
Vmn1r31,0,0,0,0,0,0,0,0,0,0,0
Vmn1r32,0,0,2,2,4,4,4,0,0,0,2
Vmn1r33,0,0,0,0,0,0,0,0,0,0,0
Vmn1r34,0,0,0,0,0,0,0,0,0,0,0
Vmn1r35,0,0,0,0,0,0,0,0,0,0,0
Vmn1r36,0,0,0,0,0,0,0,0,0,0,0
Vmn1r37,0,0,0,0,0,0,0,0,0,0,0
Vmn1r38,0,0,0,0,0,0,0,0,0,0,0
Vmn1r39,0,0,0,0,0,0,0,0,0,0,0
Vmn1r4,0,0,0,0,0,0,0,0,0,0,0
Vmn1r40,0,0,0,0,0,0,0,0,0,0,0
Vmn1r41,0,0,0,0,0,0,0,0,0,0,0
Vmn1r42,0,0,0,0,0,0,0,0,0,0,0
Vmn1r43,0,0,0,0,0,0,0,0,0,0,0
Vmn1r44,0,0,0,0,0,0,0,0,0,0,0
Vmn1r45,0,0,0,0,0,0,0,0,0,0,0
Vmn1r46,0,0,0,0,0,0,0,0,0,0,0
Vmn1r47,0,0,0,0,0,0,0,0,0,0,0
Vmn1r48,0,0,0,0,0,0,0,0,0,0,0
Vmn1r49,0,0,0,0,0,0,0,0,0,0,0
Vmn1r5,0,0,0,0,0,0,0,0,0,0,0
Vmn1r50,0,0,0,0,0,0,0,0,0,0,0
Vmn1r51,0,0,0,0,0,0,0,0,0,0,0
Vmn1r52,0,0,0,0,0,0,0,0,0,0,0
Vmn1r53,0,0,0,0,0,0,0,0,0,0,0
Vmn1r54,0,0,0,0,0,0,0,0,0,0,0
Vmn1r55,0,0,0,0,0,0,0,0,0,0,0
Vmn1r56,0,0,0,0,0,0,0,0,0,0,0
Vmn1r57,0,0,0,0,0,0,0,0,0,0,0
Vmn1r58,0,0,0,0,0,0,0,0,0,0,1
Vmn1r59,0,0,0,0,0,0,0,0,0,0,0
Vmn1r6,0,0,0,0,0,0,0,0,0,0,0
Vmn1r60,0,0,0,0,0,0,0,0,0,0,0
Vmn1r61,0,0,0,0,0,0,0,0,0,0,0
Vmn1r62,0,0,0,0,0,0,0,0,0,0,0
Vmn1r63,0,0,0,0,0,0,0,0,0,0,0
Vmn1r64,0,0,0,0,0,0,0,0,0,0,0
Vmn1r65,0,0,0,0,0,0,0,1,1,0,0
Vmn1r66,0,0,0,0,0,0,0,0,0,0,0
Vmn1r67,0,0,0,0,0,0,0,0,0,0,0
Vmn1r68,0,0,0,0,0,0,0,0,0,0,0
Vmn1r69,0,0,0,0,0,0,0,0,0,0,0
Vmn1r7,0,0,0,0,0,0,0,0,0,0,0
Vmn1r70,0,0,0,0,0,0,0,0,0,0,0
Vmn1r71,0,0,0,0,0,0,0,0,0,0,0
Vmn1r72,0,0,0,0,0,0,0,0,0,0,0
Vmn1r73,0,0,0,0,0,0,0,0,0,0,0
Vmn1r74,0,0,0,0,0,0,0,0,0,0,0
Vmn1r75,0,0,0,0,0,0,0,0,0,0,0
Vmn1r76,0,0,0,0,0,0,0,0,0,0,0
Vmn1r77,0,0,0,0,0,0,0,0,0,0,0
Vmn1r78,0,0,0,0,0,0,0,0,0,0,0
Vmn1r79,0,0,0,0,0,0,0,0,0,0,0
Vmn1r8,0,0,0,0,0,0,0,0,0,0,0
Vmn1r80,0,0,0,0,0,0,0,0,0,0,0
Vmn1r81,0,0,0,0,0,0,0,0,0,0,0
Vmn1r82,0,0,0,0,0,0,0,0,0,0,0
Vmn1r83,0,0,0,0,0,0,0,0,0,0,0
Vmn1r84,0,0,0,0,0,0,0,0,0,0,0
Vmn1r85,0,0,0,0,0,0,0,0,0,0,0
Vmn1r86,0,0,0,0,0,0,0,0,0,0,0
Vmn1r87,0,0,0,0,0,0,0,0,0,0,0
Vmn1r88,0,0,0,0,0,0,0,0,0,0,0
Vmn1r89,0,0,0,0,0,0,0,0,0,0,0
Vmn1r9,0,0,0,0,0,0,0,0,0,0,0
Vmn1r90,0,0,0,0,0,0,0,0,0,0,0
Vmn1r91,0,0,0,0,0,0,0,0,0,0,0
Vmn1r93,0,0,0,0,0,0,0,0,0,0,0
Vmn1r94,0,0,0,0,0,0,0,0,0,0,0
Vmn1r95,0,0,0,0,0,0,0,0,0,0,0
Vmn2r-ps11,0,0,0,0,0,0,0,0,0,0,0
Vmn2r-ps129,10,5,14,2,0,12,2,0,11,3,71
Vmn2r-ps159,0,0,0,0,0,0,0,0,0,0,0
Vmn2r-ps54,0,0,0,0,0,0,0,0,0,0,0
Vmn2r-ps60,0,0,0,0,0,0,0,0,0,0,0
Vmn2r1,0,0,0,0,0,0,0,0,0,0,0
Vmn2r10,0,0,0,0,0,0,0,0,0,0,0
Vmn2r100,0,0,0,0,0,0,0,0,0,0,0
Vmn2r101,0,0,0,0,0,0,0,0,0,0,0
Vmn2r102,0,0,0,0,0,0,0,0,0,0,0
Vmn2r103,0,0,0,0,0,0,0,0,0,0,0
Vmn2r104,0,0,0,0,0,0,0,0,0,0,0
Vmn2r105,0,0,0,0,0,0,0,0,0,0,0
Vmn2r106,0,0,0,0,0,0,0,0,0,0,0
Vmn2r107,0,0,0,0,0,0,0,0,0,0,0
Vmn2r108,0,0,0,0,0,0,0,0,1,0,0
Vmn2r109,0,0,0,0,0,0,0,0,0,0,0
Vmn2r11,0,0,0,0,0,0,0,0,0,0,0
Vmn2r110,0,0,0,0,0,0,0,0,0,0,0
Vmn2r111,0,0,0,0,0,0,0,0,0,0,0
Vmn2r112,0,0,0,0,0,0,0,0,0,0,0
Vmn2r113,0,0,0,0,0,0,0,0,0,0,0
Vmn2r114,0,0,0,0,0,0,0,0,0,0,0
Vmn2r115,0,0,0,0,0,0,0,0,0,0,0
Vmn2r116,0,0,0,0,0,0,0,0,0,0,0
Vmn2r117,0,0,0,0,0,0,0,0,0,0,0
Vmn2r118,0,0,0,0,0,0,0,0,0,0,0
Vmn2r12,0,0,0,0,0,0,0,0,0,0,0
Vmn2r120,0,0,0,0,0,0,0,0,0,0,0
Vmn2r121,0,0,0,0,0,0,0,0,0,0,0
Vmn2r122,0,0,0,0,0,0,0,0,0,0,0
Vmn2r123,0,0,0,0,0,0,0,0,0,0,0
Vmn2r124,0,0,0,0,0,0,0,0,0,0,0
Vmn2r13,0,0,0,0,0,0,0,0,0,0,0
Vmn2r14,0,0,0,0,0,0,0,0,0,0,0
Vmn2r15,0,0,0,0,0,0,0,0,0,0,0
Vmn2r16,0,0,0,0,0,0,0,0,0,0,0
Vmn2r17,0,0,0,0,0,0,0,0,0,0,0
Vmn2r18,0,0,0,0,0,0,0,0,0,0,0
Vmn2r19,0,0,0,0,0,0,0,0,0,0,0
Vmn2r2,0,0,0,0,0,0,0,0,0,0,0
Vmn2r20,0,0,0,0,0,0,0,0,0,0,0
Vmn2r21,0,0,0,0,0,0,0,0,0,0,0
Vmn2r22,0,0,0,0,0,0,0,0,0,0,0
Vmn2r23,0,0,0,0,0,0,0,0,0,0,0
Vmn2r24,0,0,0,0,0,0,0,0,0,0,0
Vmn2r25,0,0,0,0,0,0,0,0,0,0,0
Vmn2r26,0,0,0,0,0,0,0,0,0,0,0
Vmn2r27,0,0,0,0,0,0,0,0,0,0,0
Vmn2r28,0,0,0,0,0,0,0,0,0,0,0
Vmn2r29,4,5,1,0,0,0,1,0,0,1,0
Vmn2r3,0,0,0,0,0,0,0,0,0,0,0
Vmn2r30,0,0,0,0,0,0,0,0,0,0,0
Vmn2r31,0,0,0,0,0,0,0,0,0,0,0
Vmn2r32,0,0,0,0,0,0,0,0,0,0,0
Vmn2r33,0,0,0,0,0,0,0,0,0,0,0
Vmn2r34,0,0,0,0,0,0,0,0,0,0,0
Vmn2r35,0,0,0,0,0,0,0,0,0,0,0
Vmn2r36,0,0,0,0,0,0,0,0,0,0,0
Vmn2r37,0,0,0,0,0,0,0,0,0,0,0
Vmn2r38,0,0,0,0,0,0,0,0,0,0,0
Vmn2r39,0,0,0,0,0,0,0,0,0,0,0
Vmn2r4,0,0,0,0,0,0,0,0,0,0,0
Vmn2r40,0,0,0,0,0,0,0,0,0,0,0
Vmn2r41,0,0,0,0,0,0,0,0,0,0,0
Vmn2r42,0,0,0,0,0,0,0,0,0,0,0
Vmn2r43,0,0,0,0,0,0,0,0,0,0,0
Vmn2r44,0,0,0,0,0,0,0,0,0,0,0
Vmn2r45,0,0,0,0,0,0,0,0,0,0,0
Vmn2r46,0,0,0,0,0,0,0,0,0,0,0
Vmn2r47,0,0,0,0,0,0,0,0,0,0,0
Vmn2r48,0,0,0,0,0,0,0,0,0,0,0
Vmn2r49,0,0,0,0,0,0,0,0,0,0,0
Vmn2r5,0,0,0,0,0,0,0,0,0,0,0
Vmn2r50,0,0,0,0,0,0,0,0,0,0,0
Vmn2r51,0,0,0,0,0,0,0,0,0,0,0
Vmn2r52,0,0,0,0,0,0,0,0,0,0,0
Vmn2r53,0,0,0,0,0,0,0,0,0,0,0
Vmn2r54,0,0,0,0,0,0,0,0,0,0,0
Vmn2r55,0,0,0,0,0,0,0,0,0,0,0
Vmn2r56,0,0,0,0,0,0,0,0,0,0,0
Vmn2r57,0,0,0,0,0,0,0,0,0,0,0
Vmn2r58,0,0,0,0,0,0,0,0,0,0,0
Vmn2r59,0,0,0,0,0,0,0,0,0,0,0
Vmn2r6,0,0,0,0,0,0,0,0,0,0,0
Vmn2r60,0,0,0,0,0,0,0,0,0,0,0
Vmn2r61,0,0,0,0,0,0,0,0,0,0,0
Vmn2r62,0,0,0,0,0,0,0,0,0,0,0
Vmn2r63,0,0,0,0,0,0,0,0,0,0,0
Vmn2r65,0,0,0,0,0,0,0,0,0,0,0
Vmn2r66,0,0,0,0,0,0,0,0,0,0,0
Vmn2r67,0,0,0,0,0,0,0,0,0,0,0
Vmn2r68,0,0,0,0,0,0,0,0,0,0,0
Vmn2r69,0,0,0,0,0,0,0,0,0,0,0
Vmn2r7,0,0,0,0,0,0,0,0,0,0,0
Vmn2r70,0,0,0,0,0,0,0,0,0,0,0
Vmn2r71,1,0,0,0,0,0,0,0,0,0,0
Vmn2r72,0,0,0,0,0,0,0,0,0,0,0
Vmn2r73,0,0,0,0,0,0,0,0,0,0,0
Vmn2r74,0,0,0,0,0,0,0,0,0,0,0
Vmn2r75,0,0,0,0,0,0,0,0,0,0,0
Vmn2r76,0,0,0,0,0,0,0,0,0,0,0
Vmn2r77,0,0,0,0,0,0,0,0,0,0,0
Vmn2r78,0,0,0,0,0,0,0,0,0,0,0
Vmn2r79,0,0,0,0,0,0,0,0,0,0,0
Vmn2r8,0,0,0,0,0,0,0,0,0,0,0
Vmn2r80,0,0,0,0,0,0,0,0,0,0,0
Vmn2r81,0,0,0,0,0,0,0,0,0,0,0
Vmn2r82,7,0,0,0,0,0,0,0,0,0,0
Vmn2r83,0,0,0,0,0,0,0,0,0,0,0
Vmn2r84,0,3,3,0,0,0,0,0,0,1,1
Vmn2r85,0,0,0,0,0,0,0,0,0,0,0
Vmn2r86,0,0,0,0,0,0,0,0,0,0,0
Vmn2r87,0,0,0,0,0,0,0,0,0,0,0
Vmn2r88,0,0,0,0,0,0,0,0,0,0,0
Vmn2r89,0,0,0,0,0,0,0,0,0,0,2
Vmn2r9,0,0,0,0,0,0,0,0,0,0,0
Vmn2r90,0,0,0,0,0,0,0,0,0,0,0
Vmn2r91,0,0,0,0,0,0,0,0,0,0,0
Vmn2r92,0,0,0,0,0,0,0,0,0,0,0
Vmn2r93,0,0,0,0,0,0,0,0,0,0,0
Vmn2r94,0,0,0,0,0,0,0,0,0,0,0
Vmn2r95,0,0,0,0,0,0,0,0,0,0,0
Vmn2r96,0,0,0,0,0,0,0,0,1,4,1
Vmn2r97,0,0,0,0,0,0,0,0,0,0,1
Vmn2r98,0,0,0,0,0,0,0,0,0,0,0
Vmn2r99,0,0,0,0,0,0,0,0,0,0,0
Vmo1,0,0,0,0,0,0,0,0,0,0,0
Vmp1,146,343,296,68,273,444,272,96,169,154,971
Vnn1,0,0,0,0,0,0,0,0,0,0,0
Vnn3,13,3,0,0,39,0,6,7,0,4,732
Vopp1,18,85,61,7,57,182,473,61,75,45,250
Vprbp,122,284,249,55,25,410,157,15,136,95,189
Vpreb1,26,15,13,0,8,17,3,0,10,4,65
Vpreb2,2,0,0,0,0,0,0,0,0,0,1
Vpreb3,73,9,7,308,1,18,33,1,3,9,283
Vps11,171,211,221,72,141,246,66,46,109,87,590
Vps13a,85,231,197,70,34,319,96,48,180,103,427
Vps13b,142,260,181,113,148,198,148,42,121,95,480
Vps13c,34,100,118,17,73,97,17,13,41,29,183
Vps13d,179,214,154,104,89,226,125,61,154,156,950
Vps16,271,435,380,153,178,526,155,111,301,234,708
Vps18,153,231,189,41,105,180,19,29,45,55,629
Vps25,331,447,436,129,184,538,230,74,218,190,920
Vps26a,171,397,418,52,250,506,160,52,128,90,771
Vps26b,137,323,346,9,167,419,34,77,194,151,1110
Vps28,284,599,637,195,347,598,185,216,487,352,1540
Vps29,61,244,277,36,88,267,65,27,93,81,684
Vps33a,85,131,134,37,87,182,26,19,45,32,349
Vps33b,90,149,172,48,62,186,22,38,65,67,319
Vps35,168,389,391,98,196,525,99,52,124,111,576
Vps36,122,468,480,72,157,425,57,70,168,115,865
Vps37a,71,192,153,71,61,198,28,43,93,66,534
Vps37b,401,330,244,284,241,385,121,181,387,316,989
